vocab_id,syllabus_order,level_min,level_max,level_raw,additional_levels,hanzi,syllabus_form,sense_number,syllabus_pinyin,pinyin,pinyin_search,pinyin_numeric,syllabus_part_of_speech_zh,part_of_speech_zh,example_zh,example_review_status,curation_status,source_id,source_locator,notes
hsk26-v01439,1439,4,4,4,,空,空,,kòng,kòng,kòng,,动、形、名,动、形、名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3167,
hsk26-v01440,1440,4,4,4,,口语,口语,,kǒuyǔ,kǒuyǔ,kǒuyǔ,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3168,
hsk26-v01441,1441,4,4,4,,苦,苦,,kǔ,kǔ,kǔ,,形,形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3169,
hsk26-v01442,1442,4,4,4,,快餐,快餐,,kuàicān,kuàicān,kuàicān,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3170,
hsk26-v01443,1443,4,4,4,,快递,快递,,kuàidì,kuàidì,kuàidì,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3171,
hsk26-v01444,1444,4,4,4,,快速,快速,,kuàisù,kuàisù,kuàisù,,形,形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3172,
hsk26-v01445,1445,4,4,4（5）,5,困,困,,kùn,kùn,kùn,,形、（动）,形、（动）,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3173,
hsk26-v01446,1446,4,4,4,,困难,困难,,kùnnan,kùnnan,kùnnan,,形、名,形、名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3174,
hsk26-v01447,1447,4,4,4,,拉,拉,,lā,lā,lā,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3175,
hsk26-v01448,1448,4,4,4,,垃圾,垃圾,,lājī,lājī,lājī,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3176,
hsk26-v01449,1449,4,4,4,,辣,辣,,là,là,là,,形,形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3177,
hsk26-v01450,1450,4,4,4,,来不及,来不及,,láibují,láibují,láibují,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3178,
hsk26-v01451,1451,4,4,4,,来得及,来得及,,láidejí,láidejí,láidejí,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3179,
hsk26-v01452,1452,4,4,4,,懒,懒,,lǎn,lǎn,lǎn,,形,形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3180,
hsk26-v01453,1453,4,4,4,,浪费,浪费,,làngfèi,làngfèi,làngfèi,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3181,
hsk26-v01454,1454,4,4,4,,浪漫,浪漫,,làngmàn,làngmàn,làngmàn,,形,形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3182,
hsk26-v01455,1455,4,4,4,,老虎,老虎,,lǎohǔ,lǎohǔ,lǎohǔ,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3183,
hsk26-v01456,1456,4,4,4,,老家,老家,,lǎojiā,lǎojiā,lǎojiā,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3184,
hsk26-v01457,1457,4,4,4,,老年,老年,,lǎonián,lǎonián,lǎonián,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3185,
hsk26-v01458,1458,4,4,4,,老是,老是,,lǎoshì,lǎoshì,lǎoshì,,副,副,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3186,
hsk26-v01459,1459,4,4,4,,冷静,冷静,,lěngjìng,lěngjìng,lěngjìng,,形,形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3187,
hsk26-v01460,1460,4,4,4,,理发,理发,,lǐfà,lǐfà,lǐfà,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3188,
hsk26-v01461,1461,4,4,4,,理解,理解,,lǐjiě,lǐjiě,lǐjiě,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3189,
hsk26-v01462,1462,4,4,4,,礼貌,礼貌,,lǐmào,lǐmào,lǐmào,,名、形,名、形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3190,
hsk26-v01463,1463,4,4,4,,理想,理想,,lǐxiǎng,lǐxiǎng,lǐxiǎng,,名、形,名、形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3191,
hsk26-v01464,1464,4,4,4,,厉害,厉害,,lìhai,lìhai,lìhai,,形,形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3192,
hsk26-v01465,1465,4,4,4,,力气,力气,,lìqi,lìqi,lìqi,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3193,
hsk26-v01466,1466,4,4,4,,例如,例如,,lìrú,lìrú,lìrú,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3194,
