grammar_lesson_id,grammar_element_id,relation_role,relation_order,review_status,notes
glesson_a91ecbb9ff784ac392a137fb2dbd5cdf,gelement_63009f492668415993694ce84134fc66,primary,2,approved,
glesson_a91ecbb9ff784ac392a137fb2dbd5cdf,gelement_48625bab541d451a895f1f7fcbe76a16,primary,3,approved,
glesson_a91ecbb9ff784ac392a137fb2dbd5cdf,gelement_79b7fab83b6b477e93b09315960efa61,primary,4,approved,
glesson_9e1e81c523f44c8cbc6c147e92033433,gelement_a87e802d9e374f6cb25d50f99f974d56,primary,1,approved,
glesson_9154adcdd1eb445d81f9f1b9e0f52031,gelement_1b8ebd108e374390940f938ff4371414,primary,1,approved,
glesson_9154adcdd1eb445d81f9f1b9e0f52031,gelement_645edbcc339043f28f4a0d62131b0644,primary,2,approved,
glesson_9154adcdd1eb445d81f9f1b9e0f52031,gelement_89b4b3038b5a4d8da618e0da573d25cc,primary,3,approved,
glesson_9154adcdd1eb445d81f9f1b9e0f52031,gelement_694bc9008f964306ba87a371a9397244,primary,4,approved,
glesson_5e7829e104354662a78adeb2b1d2dff9,gelement_5288e7852cdc4c0db93543d939c158be,primary,1,approved,
glesson_80527658633340f598660551f1dd2e41,gelement_927cabd9146648fba0d50f8152667b47,primary,1,approved,
glesson_125dc9b62eb74fe4bbc800701647cd66,gelement_0d7be292f82844eda5e084624f2088a4,primary,1,approved,
glesson_125dc9b62eb74fe4bbc800701647cd66,gelement_e1e5eb28574845b6ac677d5888bd8e7f,primary,2,approved,
glesson_125dc9b62eb74fe4bbc800701647cd66,gelement_09df39837e1d48658f1251d69c1da1c2,primary,3,approved,
glesson_125dc9b62eb74fe4bbc800701647cd66,gelement_8ed4ab8539eb4192b6d18e14a8c894b8,primary,4,approved,
glesson_125dc9b62eb74fe4bbc800701647cd66,gelement_4d35c207ae4842a283d2d9da5faaefd1,primary,5,approved,
glesson_cd8068aa406c4cf9973d0172420ae334,gelement_d2768e50f2f9426abcdaef623f3e4b15,primary,1,approved,
glesson_cd8068aa406c4cf9973d0172420ae334,gelement_50304e6387404f618d3657c8d078809d,primary,2,approved,
glesson_44413e91370f40a69c2f6302b2076397,gelement_d10e58fcb7a94b6cb8ca30f72acc6ff5,primary,1,approved,
glesson_44413e91370f40a69c2f6302b2076397,gelement_6da6c91e6e8845068663adf4200719d0,primary,2,approved,
glesson_44413e91370f40a69c2f6302b2076397,gelement_43899016b5ab4b9dbe1d84dabce4a631,primary,3,approved,
glesson_48ee165d96084cee99e07d3fc899fa39,gelement_6c745b0142ae48da8f090c44e1aafa30,primary,1,approved,
glesson_48ee165d96084cee99e07d3fc899fa39,gelement_c35dbd0ba9d34a60966a54104291aefc,primary,2,approved,
glesson_48ee165d96084cee99e07d3fc899fa39,gelement_dadebc1baa3f4a6390f3c04c9987fd64,primary,3,approved,
glesson_48ee165d96084cee99e07d3fc899fa39,gelement_157c63523d1e456ab3a0cc4b43bedb95,primary,4,approved,
glesson_7120c20f6c874ce5b1af39be029dfd59,gelement_355a00010ad647e794c38b52d3ef46a3,primary,1,approved,
glesson_2ada6849a2bc4a1f9e2abad367cf7408,gelement_ccabcde8c07343c895b0cc39cce4589a,primary,1,approved,
glesson_1f5b7591c8de4534a071d4e868fa3f63,gelement_25cc393d074a47a490be1285bbfb5451,primary,1,approved,
glesson_1f5b7591c8de4534a071d4e868fa3f63,gelement_d892f9aebf9f448f9a66368ec6718f01,primary,2,approved,
glesson_1f5b7591c8de4534a071d4e868fa3f63,gelement_badce7b365884bd88dcb4edf4af1d1c1,primary,3,approved,
glesson_c9eb971d6b9c48a191b9422e545b52e3,gelement_e1d0f2dbb2384f9b91234b703b971f4c,primary,1,approved,
glesson_32b7676dc1714d9390f46157a5251722,gelement_0a485f80ea5241f3be43b3b7af710562,primary,1,approved,
glesson_32b7676dc1714d9390f46157a5251722,gelement_378ca396d5294e75be314bda7c747ffc,primary,2,approved,
glesson_32b7676dc1714d9390f46157a5251722,gelement_1238f208be4648deb73e5ee276e3403d,primary,3,approved,
glesson_32b7676dc1714d9390f46157a5251722,gelement_5b9de1c143674195a1781576a263901e,primary,4,approved,
glesson_32b7676dc1714d9390f46157a5251722,gelement_6c8d3b2e23f74a45ba819ce2f50144dd,primary,5,approved,
glesson_32b7676dc1714d9390f46157a5251722,gelement_1029c94420364515b2abf5d894788f9b,primary,6,approved,
glesson_32b7676dc1714d9390f46157a5251722,gelement_05736f3f03d041beb856881aaea07c56,primary,7,approved,
glesson_8b5643c69b5541b087e6806ecef94f7e,gelement_189a9264bb8942c3932dcbaec7bd118d,primary,1,approved,
glesson_8b5643c69b5541b087e6806ecef94f7e,gelement_ab4bc14917664677b660394dbc1657a0,primary,2,approved,
glesson_6eec0008af9b4d6fbc582149b6303e6e,gelement_05d9d26e873746158cb0ff9298cc912c,primary,1,approved,
glesson_645bec7bf7d34fab8a8a2dd3559217e8,gelement_39be2073c23943338abe83c4de4e3886,primary,1,approved,
glesson_645bec7bf7d34fab8a8a2dd3559217e8,gelement_1718724a3e2c4dc3b8135af4a8faf509,primary,2,approved,
glesson_527c85c04e5b411f83b5db806dc52df8,gelement_78468181c7734ec1b50654d138e25f65,primary,1,approved,
glesson_527c85c04e5b411f83b5db806dc52df8,gelement_a8ab68cc94db4257b8dd7c25b025845e,primary,2,approved,
glesson_527c85c04e5b411f83b5db806dc52df8,gelement_71f7267b0b774e98910c66b355661ca6,primary,3,approved,
glesson_55984ca37edd412280de4d44daaa9275,gelement_88fd398ff0324169beee7bb31a4fab66,primary,1,approved,
