vocab_id,level,hanzi,sense_number,product_active,published_surface_count,published_explicit_count,approved_surface_count,approved_explicit_count,published_surface_target_met,published_explicit_target_met,approved_surface_target_met,approved_explicit_target_met,curation_status
hsk26-v00256,1,医生,,True,7,7,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00257,1,医院,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00258,1,一半,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00259,1,一下,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00260,1,椅子,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00261,1,一点儿,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00262,1,一些,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00263,1,有,,True,44,44,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00264,1,有的,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00265,1,有点儿,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00266,1,有些,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00267,1,雨,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00268,1,元,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00269,1,月,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00270,1,再,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00271,1,在,,True,52,52,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00272,1,再见,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00273,1,早,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00274,1,早饭,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00275,1,早上,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00276,1,怎么,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00277,1,怎么样,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00278,1,找,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00279,1,这,,True,15,15,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00280,1,这边,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00281,1,这个,,True,25,25,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00282,1,这里,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00283,1,这儿,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00284,1,这些,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00285,1,真,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00286,1,正在,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00287,1,只,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00288,1,知道,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00289,1,中国,,True,11,11,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00290,1,中文,,True,7,7,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00291,1,中午,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00292,1,中学,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00293,1,中学生,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00294,1,住,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00295,1,桌子,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00296,1,字,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00297,1,昨天,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00298,1,坐,,True,9,9,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00299,1,做,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00300,1,做饭,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00301,2,啊,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00302,2,爱好,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00303,2,白色,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00304,2,班,,True,4,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00305,2,帮,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00306,2,帮忙,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00307,2,包,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00308,2,本子,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00309,2,比,,True,11,11,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00310,2,笔,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00311,2,别,1,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00312,2,不错,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00313,2,不好意思,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00314,2,长,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
